omega7_0001|The birch canoe slid on the smooth planks.|The birch canoe slid on the smooth planks.
omega7_0002|Glue the sheet to the dark blue background.|Glue the sheet to the dark blue background.
omega7_0003|It's easy to tell the depth of a well.|It's easy to tell the depth of a well.
omega7_0004|These days a chicken leg is a rare dish.|These days a chicken leg is a rare dish.
omega7_0005|Rice is often served in round bowls.|Rice is often served in round bowls.
omega7_0006|The juice of lemons makes fine punch.|The juice of lemons makes fine punch.
omega7_0007|The box was thrown beside the parked truck.|The box was thrown beside the parked truck.
omega7_0008|The hogs were fed chopped corn and garbage.|The hogs were fed chopped corn and garbage.
omega7_0009|Four hours of steady work faced us.|Four hours of steady work faced us.
omega7_0010|Large size in stockings is hard to sell.|Large size in stockings is hard to sell.
omega7_0011|The boy was there when the sun rose.|The boy was there when the sun rose.
omega7_0012|A rod is used to catch pink salmon.|A rod is used to catch pink salmon.
omega7_0013|The source of the huge river is the clear mountain spring.|The source of the huge river is the clear mountain spring.
omega7_0014|Kick the ball straight and follow through.|Kick the ball straight and follow through.
omega7_0015|Help the woman get back to her feet.|Help the woman get back to her feet.
omega7_0016|A pot of tea helps to pass the evening.|A pot of tea helps to pass the evening.
omega7_0017|Smoky fires lack flame and heat.|Smoky fires lack flame and heat.
omega7_0018|The soft cushion broke the man's fall.|The soft cushion broke the man's fall.
omega7_0019|The salt breeze came across from the sea.|The salt breeze came across from the sea.
omega7_0020|The girl at the booth sold fifty bonds.|The girl at the booth sold fifty bonds.
omega7_0021|The small pup gnawed a hole in the sock.|The small pup gnawed a hole in the sock.
omega7_0022|The fish twisted and turned on the bent hook.|The fish twisted and turned on the bent hook.
omega7_0023|Press the pants and sew a button on the vest.|Press the pants and sew a button on the vest.
omega7_0024|The swan on the lake attracted much attention.|The swan on the lake attracted much attention.
omega7_0025|The beauty of the view stunned the young boy.|The beauty of the view stunned the young boy.
omega7_0026|Two blue fish swam in the tank.|Two blue fish swam in the tank.
omega7_0027|Her well-trained cat sat beside her.|Her well-trained cat sat beside her.
omega7_0028|Rock the boat gently with your oar.|Rock the boat gently with your oar.
omega7_0029|Hoist the load to your left shoulder.|Hoist the load to your left shoulder.
omega7_0030|Take the winding path to reach the lake.|Take the winding path to reach the lake.
omega7_0031|Note closely the size of the gas tank.|Note closely the size of the gas tank.
omega7_0032|Wipe the grease off his dirty face.|Wipe the grease off his dirty face.
omega7_0033|Mend the coat before you go out.|Mend the coat before you go out.
omega7_0034|The wrist band was of bright red leather.|The wrist band was of bright red leather.
omega7_0035|The stray cat gave birth to kittens.|The stray cat gave birth to kittens.
omega7_0036|The young girl gave no clear response.|The young girl gave no clear response.
omega7_0037|The meal was cooked before the bell rang.|The meal was cooked before the bell rang.
omega7_0038|What joy there is in living.|What joy there is in living.
omega7_0039|A king ruled the state in the early days.|A king ruled the state in the early days.
omega7_0040|The ship was torn apart on the sharp reef.|The ship was torn apart on the sharp reef.
omega7_0041|Sickness kept him home the third week.|Sickness kept him home the third week.
omega7_0042|The wide road shimmered in the hot sun.|The wide road shimmered in the hot sun.
omega7_0043|The lazy cow lay in the cool grass.|The lazy cow lay in the cool grass.
omega7_0044|Lift the square stone over the fence.|Lift the square stone over the fence.
omega7_0045|The rope will bind the seven books at once.|The rope will bind the seven books at once.
omega7_0046|Hop over the fence and plunge in.|Hop over the fence and plunge in.
omega7_0047|The friendly gang left the drug store.|The friendly gang left the drug store.
omega7_0048|Mesh wire keeps the cheese fresh.|Mesh wire keeps the cheese fresh.
omega7_0049|The wolf roamed the hills on dark nights.|The wolf roamed the hills on dark nights.
omega7_0050|The dune rose from the sands below.|The dune rose from the sands below.
omega7_0051|Crouch before you jump or miss the mark.|Crouch before you jump or miss the mark.
omega7_0052|The faint smell of oil was in the air.|The faint smell of oil was in the air.
omega7_0053|The pleasant hours fly by quickly.|The pleasant hours fly by quickly.
omega7_0054|A tall stranger stood at the door.|A tall stranger stood at the door.
omega7_0055|She had her dark hair tied in a knot.|She had her dark hair tied in a knot.
omega7_0056|The old oak tree turned leaves in fall.|The old oak tree turned leaves in fall.
omega7_0057|The gold ring fits only a pierced ear.|The gold ring fits only a pierced ear.
omega7_0058|The sharp knife cut through the coarse twine.|The sharp knife cut through the coarse twine.
omega7_0059|Bad weather will bring floods next spring.|Bad weather will bring floods next spring.
omega7_0060|The school was built on land donated by the city.|The school was built on land donated by the city.
omega7_0061|A large red deer came bounding over the hill.|A large red deer came bounding over the hill.
omega7_0062|He picked up the old can from the trash.|He picked up the old can from the trash.
omega7_0063|The steel was cut to the right length.|The steel was cut to the right length.
omega7_0064|The colt reared and threw the tall rider.|The colt reared and threw the tall rider.
omega7_0065|It snowed, rained, and hailed the same morning.|It snowed, rained, and hailed the same morning.
omega7_0066|Read verse out loud for pleasure.|Read verse out loud for pleasure.
omega7_0067|Heed the words of the wise man.|Heed the words of the wise man.
omega7_0068|The square peg will not fit in the round hole.|The square peg will not fit in the round hole.
omega7_0069|A horde of old junk filled the attic.|A horde of old junk filled the attic.
